Year,3P,3PA,3P%,2P,2PA,2P%,TOTAL_3P,TOTAL_3PA,TOTAL_2P,TOTAL_2PA
2000,7.786,23.258,0.173,166.324,352.918,0.450,1417.000,4233.000,30271.000,64231.000
2002,8.560,25.685,0.187,162.353,341.571,0.440,1575.000,4726.000,29873.000,62849.000
2004,9.441,27.769,0.164,162.897,334.846,0.472,1841.000,5415.000,31765.000,65295.000
2006,10.755,31.127,0.188,157.299,312.583,0.469,2194.000,6350.000,32089.000,63767.000
2008,13.330,36.429,0.216,172.194,338.880,0.495,2546.000,6958.000,32889.000,64726.000
2010,10.111,28.779,0.183,178.947,352.200,0.494,1921.000,5468.000,34000.000,66918.000
2012,10.686,31.552,0.196,182.634,361.742,0.486,2073.000,6121.000,35431.000,70178.000
2014,14.898,44.383,0.224,171.607,337.755,0.502,2920.000,8699.000,33635.000,66200.000
2016,26.830,77.160,0.252,159.510,299.810,0.518,5366.000,15432.000,31902.000,59962.000
2018,35.124,100.617,0.281,157.517,282.453,0.534,7060.000,20224.000,31661.000,56773.000
2020,31.631,88.631,0.275,123.982,218.415,0.538,6864.000,19233.000,26904.000,47396.000
2022,34.771,99.668,0.300,150.224,254.972,0.587,7441.000,21329.000,32148.000,54564.000
2024,39.967,112.873,0.289,138.599,239.981,0.569,8473.000,23929.000,29383.000,50876.000
1990,2.419,9.401,0.142,195.868,396.455,0.470,404.000,1570.000,32710.000,66208.000
1992,3.982,14.162,0.148,207.413,416.072,0.482,665.000,2365.000,34638.000,69484.000
1994,6.772,20.778,0.193,191.174,378.760,0.471,1131.000,3470.000,31926.000,63253.000
1996,6.464,19.505,0.204,165.729,336.479,0.458,1241.000,3745.000,31820.000,64604.000
1998,2.339,7.892,0.153,102.634,216.909,0.445,435.000,1468.000,19090.000,40345.000
